id,email_body,expected_result
1061,"Executive Communication: Strategic priorities for upcoming fiscal year and organizational focus",no
1062,"Requesting comprehensive pricing proposal with ROI analysis for warehouse automation project",yes
1063,"IT Security: New guidelines for secure remote access and protection of company information",no
1064,"Formal RFQ: Detailed quotation needed for specialized equipment for our research laboratory",yes
1065,"Company Update: Quarterly business performance and market outlook presentation",no
1066,"Need detailed pricing structure for enterprise-wide software deployment with user-based licensing",yes
1067,"Facilities Announcement: Renovation schedule for main conference center - alternative meeting spaces",no
1068,"Seeking comprehensive cost breakdown for implementing your solution across our manufacturing plants",yes
1069,"HR Update: Enhanced professional development program and educational reimbursement options",no
1070,"Request for formal quotation with detailed specifications for inclusion in government contract bid",yes
1071,"Safety Reminder: Proper procedures for handling and disposing of hazardous materials",no
1072,"Could you provide detailed pricing options for both purchase and leasing of the equipment we discussed?",yes
1073,"Company Announcement: Upcoming trade show participation and customer engagement strategy",no
1074,"Need comprehensive cost analysis for transitioning from current vendor to your maintenance program",yes
1075,"IT Department: New collaboration tools being deployed to improve team productivity",no
1076,"Requesting detailed quotation for custom development project with milestone-based delivery schedule",yes
1077,"Facilities Update: Changes to building access procedures and security badge requirements",no
1078,"Formal request for pricing proposal: Enterprise resource planning system implementation",yes
1079,"HR Announcement: Updates to parental leave policy and family support resources",no
1080,"Need detailed cost breakdown for implementing your compliance management solution enterprise-wide",yes
1081,"Company Newsletter: Recent achievements and upcoming organizational changes",no
1082,"Seeking comprehensive quotation for equipment upgrade with trade-in consideration for existing machinery",yes
1083,"Safety Committee: Results of recent workplace safety audit and required corrective actions",no
1084,"Request for detailed pricing for scaling your solution as our business expands to new markets",yes
1085,"IT Security Reminder: Best practices for creating strong passwords and securing accounts",no
1086,"Could you provide a formal quotation for annual maintenance contract with preventive service schedule?",yes
1087,"Executive Announcement: Organizational restructuring effective next quarter",no
1088,"Need comprehensive pricing proposal including implementation timeline and resource requirements",yes
1089,"Facilities Management: Updates to conference room technology and reservation system",no
1090,"Requesting detailed cost analysis for implementing your quality management system across our operations",yes
1091,"HR Update: Changes to remote work policy and equipment stipend program",no
1092,"Formal RFQ: Detailed quotation needed for specialized manufacturing equipment with custom specifications",yes
1093,"Company Announcement: Annual charitable giving campaign kickoff and matching program details",no
1094,"Need detailed pricing options for different service level agreements for the enterprise software package",yes
1095,"Safety Reminder: Ergonomic workstation setup guidelines to prevent injuries",no
1096,"Seeking comprehensive cost projection for scaling your solution as our user base grows over next 36 months",yes
1097,"IT Department: Important updates to data protection policies and compliance requirements",no
1098,"Request for formal quotation with detailed specifications for inclusion in our capital expenditure proposal",yes
1099,"Facilities Announcement: New sustainable practices implementation and waste reduction goals",no
1100,"Could you provide detailed pricing for both on-premise and cloud-based deployment options?",yes
1101,"HR Reminder: Performance review discussions scheduled for next month - preparation materials attached",no
1102,"Need comprehensive cost analysis comparing preventive maintenance contract vs. time and materials approach",yes
1103,"Company Update: Strategic partnership announcement and implications for our business",no
1104,"Requesting detailed quotation for custom solution addressing the specific challenges we discussed last week",yes
1105,"IT Security Alert: Recent increase in phishing attempts targeting our organization",no
1106,"Formal request for pricing: Nationwide rollout of your retail display solution across our 200+ locations",yes
1107,"Executive Communication: Annual planning process kickoff and departmental budget submissions",no
1108,"Need detailed cost breakdown for implementing your environmental monitoring system at our facilities",yes
1109,"Facilities Update: Improvements to campus outdoor spaces and recreational areas",no
1110,"Seeking comprehensive quotation for custom software development project with phased implementation approach",yes
1111,"HR Announcement: Enhanced employee wellness program and participation incentives",no
1112,"Request for detailed pricing options for different configuration scenarios of your manufacturing solution",yes
1113,"Safety Committee: Updated emergency evacuation procedures and assembly point locations",no
1114,"Could you provide a formal quotation for the turnkey solution we discussed at the industry conference?",yes
1115,"Company Newsletter: Spotlight on innovation and recent patent achievements",no
1116,"Need comprehensive pricing for both equipment purchase and ongoing maintenance services",yes
1117,"IT Department: New mobile device policy and security requirements for company data access",no
1118,"Requesting detailed cost analysis for upgrading vs. replacing aging equipment in our production facility",yes
1119,"Facilities Announcement: New food service vendor in company cafeteria starting next month",no
1120,"Formal RFQ: Detailed quotation needed for specialized consulting services for our digital transformation initiative",yes
1121,"HR Update: Changes to employee recognition program and nomination criteria",no
1122,"Need detailed pricing proposal with volume discount tiers for our anticipated annual consumption",yes
1123,"Company Announcement: Upcoming customer appreciation events and participation opportunities",no
1124,"Seeking comprehensive cost analysis for implementing your solution with customizations for our industry",yes
1125,"Safety Reminder: Procedures for reporting workplace hazards and safety concerns",no
1126,"Request for detailed quotation including implementation services and knowledge transfer for new system",yes
1127,"IT Security: Mandatory security awareness training schedule and completion requirements",no
1128,"Could you provide a comprehensive pricing proposal for upgrading our entire fleet to your latest model?",yes
1129,"Executive Announcement: Strategic acquisition completed and integration plans",no
1130,"Need formal quotation for custom development of integration between your system and our existing platform",yes
1131,"Facilities Update: Changes to shipping and receiving procedures and hours of operation",no
1132,"Requesting detailed cost breakdown for phased implementation of your solution across our business units",yes
1133,"HR Announcement: Updates to continuing education benefits and approval process",no
1134,"Formal request for pricing: Enterprise-wide license agreement with unlimited user access",yes
1135,"Company Update: Recent media coverage and public relations opportunities",no
1136,"Need comprehensive quotation for equipment, installation, training, and extended warranty",yes
1137,"Safety Committee: New safety protocols for handling specialized equipment in production areas",no
1138,"Seeking detailed pricing for custom manufacturing with quality assurance and certification requirements",yes
1139,"IT Department: Upcoming changes to file sharing and collaboration platform",no
1140,"Request for formal pricing proposal with detailed implementation timeline and resource requirements",yes
1141,"Facilities Announcement: New security measures being implemented at all building entrances",no
1142,"Could you provide detailed cost analysis for your preventive maintenance program across our facilities?",yes
1143,"HR Update: Changes to employee assistance program and available resources",no
1144,"Need formal quotation with detailed specifications for specialized equipment for our research laboratory",yes
1145,"Company Announcement: Quarterly business performance and market outlook",no
1146,"Requesting comprehensive pricing proposal for upgrading our quality control systems to meet new regulations",yes
1147,"IT Security: Important updates to data protection policies and procedures",no
1148,"Formal RFQ: Detailed quotation needed for custom solution based on specifications discussed during site visit",yes
1149,"Executive Communication: Strategic priorities and organizational goals for coming fiscal year",no
1150,"Need detailed pricing options for different levels of technical support coverage for your software",yes
1151,"Facilities Update: Renovation schedule for main lobby and reception area - temporary arrangements",no
1152,"Seeking comprehensive cost breakdown for implementing your solution across our European operations",yes
1153,"HR Announcement: Enhanced employee discount program with new participating vendors",no
1154,"Request for detailed quotation for annual maintenance contract with guaranteed response times",yes
1155,"Safety Reminder: Proper handling procedures for sensitive materials and equipment",no
1156,"Could you provide formal pricing for both standard and expedited delivery options for our quarterly supply order?",yes
1157,"Company Newsletter: Employee spotlights and recent team achievements",no
1158,"Need comprehensive pricing proposal with ROI analysis for automation project at our Cincinnati facility",yes
1159,"IT Department: New data classification guidelines and handling procedures for sensitive information",no
1160,"Requesting detailed quotation for custom manufacturing with specialized materials and finishing requirements",yes
1161,"Facilities Announcement: New electric vehicle charging stations available in company parking garage",no
1162,"Formal request for pricing: Comprehensive cost analysis for transitioning to your managed services solution",yes
1163,"HR Update: Changes to performance evaluation criteria and process for coming year",no
1164,"Need detailed cost breakdown for implementing your compliance management solution enterprise-wide",yes
1165,"Executive Announcement: Upcoming media coverage and communication guidelines",no
1166,"Seeking formal quotation for nationwide service coverage with guaranteed response times",yes
1167,"Safety Committee: Results of recent safety audit and required corrective actions",no
1168,"Request for comprehensive pricing including training, implementation, and ongoing support services",yes
1169,"IT Security Reminder: Recognizing and reporting suspicious emails and phishing attempts",no
1170,"Could you provide detailed pricing for scaling your solution as we expand to new markets?",yes
1171,"Facilities Update: Changes to office layout and workspace allocation process",no
1172,"Need formal quotation with detailed specifications for inclusion in our budget planning process",yes
1173,"HR Announcement: New professional development opportunities and internal training resources",no
1174,"Requesting comprehensive pricing proposal for nationwide implementation of your retail solution",yes
1175,"Company Update: Annual planning process and departmental budget submissions",no
1176,"Formal RFQ: Detailed cost analysis comparing your solution to our current process with ROI projections",yes
1177,"Safety Reminder: Updated guidelines for workplace accident reporting and investigation",no
1178,"Need comprehensive quotation for enterprise software licenses with implementation services",yes
1179,"IT Department: New software deployment schedule and training resources available",no
1180,"Seeking detailed pricing options for different service level agreements and response times",yes
1181,"Executive Communication: Company performance review and strategic direction update",no
1182,"Request for formal quotation for custom solution addressing the specific challenges we discussed last month",yes
1183,"Facilities Announcement: Improvements to building HVAC system and expected energy savings",no
1184,"Could you provide a detailed cost breakdown for the enterprise-wide deployment we discussed at the conference?",yes
1185,"HR Update: Changes to employee referral program and increased bonuses",no
1186,"Need comprehensive pricing for both on-premise and cloud deployment options with migration services",yes
1187,"Company Announcement: Upcoming community volunteer opportunities and team participation",no
1188,"Requesting detailed quotation for equipment lease options with maintenance and upgrade provisions",yes
1189,"Safety Committee: Upcoming safety certification training schedule and registration information",no
1190,"Formal request for pricing: Custom development project with milestone-based payment schedule",yes
1191,"IT Security: Critical system updates required to address recently identified vulnerabilities",no
1192,"Need detailed cost analysis for implementing your quality control system in our manufacturing process",yes
1193,"Facilities Update: Changes to visitor management system and security procedures",no
1194,"Seeking comprehensive pricing proposal with volume discounts for anticipated three-year consumption",yes
1195,"Executive Announcement: Leadership changes effective next quarter",no
1196,"Request for detailed quotation including customization options and implementation services for CRM solution",yes
1197,"HR Reminder: Deadline approaching for submitting tuition reimbursement requests for current semester",no
1198,"Could you provide comprehensive pricing for your preventive maintenance program with guaranteed uptime?",yes
1199,"Company Newsletter: Upcoming events and important dates for your calendar",no
1200,"Need formal quotation with detailed specifications for specialized manufacturing equipment for expansion project",yes
1201,"Safety Announcement: New safety equipment distribution and training requirements",no
1202,"Requesting detailed cost breakdown for implementing your solution with customizations for our industry",yes
1203,"IT Department: Updates to acceptable use policy for company technology resources",no
1204,"Formal RFQ: Comprehensive quotation for equipment, installation, training, and extended warranty",yes
1205,"Facilities Management: New sustainable practices implementation and waste reduction goals",no
1206,"Need detailed pricing for scaling your solution as our user base grows over the next 24 months",yes
1207,"HR Announcement: Updates to employee health and wellness program offerings",no
1208,"Seeking formal quotation with detailed specifications for inclusion in our capital expenditure proposal",yes
1209,"Executive Communication: Quarterly business review and strategic priorities discussion",no
1210,"Request for comprehensive pricing proposal including implementation services and knowledge transfer",yes
1211,"Safety Reminder: Proper procedures for handling hazardous materials in the workplace",no
1212,"Could you provide detailed cost analysis comparing your solution to alternatives we're considering?",yes
1213,"Company Announcement: Recent industry awards and recognition for our products",no
1214,"Need formal quotation for custom manufacturing with quality assurance and testing protocols",yes
1215,"IT Security: New guidelines for secure remote work and protection of company information",no
1216,"Requesting detailed pricing options for different configuration scenarios based on our discussion",yes
1217,"Facilities Update: Renovation schedule for employee break areas and recreational spaces",no
1218,"Formal request for pricing: Nationwide implementation of your solution across our regional offices",yes
1219,"HR Update: Changes to professional development funding and approval process",no
1220,"Need comprehensive quotation for upgrading our existing systems to your latest technology",yes
1221,"Executive Announcement: Strategic partnership formation and business implications",no
1222,"Seeking detailed cost breakdown for phased implementation across our manufacturing facilities",yes
1223,"Safety Committee: Updated emergency response procedures and team assignments",no
1224,"Request for formal pricing proposal with detailed implementation timeline and resource requirements",yes
1225,"IT Department: New collaboration tools being deployed to improve team productivity",no
1226,"Could you provide a detailed quotation for the custom solution we discussed at last week's meeting?",yes
1227,"Facilities Management: Updated building maintenance schedule for Q4 2023",no
1228,"Need comprehensive pricing for enterprise-wide deployment of your cybersecurity solution",yes
1229,"HR Advisory: Important changes to retirement plan investment options effective next month",no
1230,"Requesting formal cost proposal for upgrading our production line with your automated equipment",yes
1231,"Company Announcement: Annual holiday schedule and year-end closure information",no
1232,"Seeking detailed quotation for custom development project with specific technical requirements",yes
1233,"Safety Committee: Results of annual fire safety inspection and required improvements",no
1234,"What would the financial investment be for implementing your solution across all our locations?",yes
1235,"IT Security: Mandatory multi-factor authentication rollout schedule and instructions",no
1236,"Need formal quotation with detailed specifications for specialized laboratory equipment (Project: LAB-2023-112)",yes
1237,"Executive Communication: Year-end business review and upcoming strategic initiatives",no
1238,"Request for comprehensive pricing proposal including implementation, training, and support services",yes
1239,"Facilities Update: New waste management procedures and recycling program enhancements",no
1240,"Could you provide detailed pricing options for your managed services with different SLA tiers?",yes
1241,"HR Announcement: Changes to employee benefits package for upcoming calendar year",no
1242,"Seeking formal quotation for custom manufacturing with specialized materials and quality requirements",yes
1243,"Company Newsletter: Department spotlights and recent project successes",no
1244,"Need detailed cost analysis for upgrading our existing infrastructure to support your solution",yes
1245,"IT Department: Scheduled system upgrades and potential service impacts next weekend",no
1246,"Requesting comprehensive pricing for nationwide service contract with 24/7 support options",yes
1247,"Safety Reminder: Updated procedures for reporting workplace incidents and near-misses",no
1248,"Formal RFQ: Detailed quotation needed for specialized equipment for our expansion project",yes
1249,"Facilities Announcement: Building access system upgrade and new badge issuance process",no
1250,"Need detailed pricing structure for enterprise software licenses with various user tiers",yes
1251,"HR Update: Enhanced professional development program and educational assistance options",no
1252,"Could you provide a formal quotation for the custom configuration discussed during your site visit?",yes
1253,"Executive Announcement: Organizational changes and new reporting structure effective next month",no
1254,"Requesting detailed cost breakdown for implementing your solution across our distribution centers",yes
1255,"Company Update: Quarterly business performance and market position analysis",no
1256,"Need comprehensive quotation for equipment, installation, training, and extended warranty options",yes
1257,"IT Security Alert: Important information about recent software vulnerabilities and required patches",no
1258,"Seeking detailed pricing options for different implementation approaches for your platform",yes
1259,"Facilities Management: Updates to conference room technology and reservation procedures",no
1260,"Formal request for pricing proposal: Enterprise resource planning system with custom modules",yes
1261,"Safety Committee: Upcoming workplace safety training schedule and certification requirements",no
1262,"Need detailed cost analysis for transitioning from our current vendor to your maintenance program",yes
1263,"HR Reminder: Open enrollment period for benefits begins next week - important changes this year",no
1264,"Requesting comprehensive quotation for custom development project with phased delivery approach",yes
1265,"Company Announcement: Annual employee recognition program nominations now open",no
1266,"Could you provide detailed pricing for both on-premise and cloud-based deployment scenarios?",yes
1267,"IT Department: New data backup procedures and disaster recovery protocols",no
1268,"Need formal quotation with detailed specifications for inclusion in government contract proposal",yes
1269,"Executive Communication: Strategic priorities for upcoming fiscal year and budget planning",no
1270,"Seeking comprehensive cost breakdown for implementing your quality management system",yes
1271,"Facilities Update: Renovation schedule for main entrance and lobby - temporary access routes",no
1272,"Request for detailed pricing options for different service level agreements for your platform",yes
1273,"Safety Reminder: Proper procedures for handling and storing hazardous materials",no
1274,"Formal RFQ: Detailed quotation needed for specialized manufacturing equipment with custom features",yes
1275,"HR Announcement: Updates to parental leave policy and family support resources",no
1276,"Need comprehensive pricing proposal with ROI analysis for warehouse automation project",yes
1277,"Company Newsletter: Recent achievements and upcoming organizational events",no
1278,"Requesting detailed cost analysis for upgrading vs. replacing aging equipment in our facilities",yes
1279,"IT Security: New guidelines for secure remote access and protection of sensitive information",no
1280,"Could you provide a formal quotation for annual maintenance contract with preventive service schedule?",yes
1281,"Executive Announcement: Strategic acquisition completed and integration timeline",no
1282,"Need detailed pricing for scaling your solution as our business expands to new markets",yes
1283,"Facilities Management: New visitor check-in procedures effective next month at all locations",no
1284,"Seeking comprehensive quotation for custom software development with specific business requirements",yes
1285,"Safety Committee: Results of recent workplace safety audit and required corrective actions",no
1286,"Request for detailed cost breakdown for phased implementation of your solution across our operations",yes
1287,"HR Update: Changes to remote work policy and equipment stipend program",no
1288,"Formal request for pricing: Enterprise-wide license agreement with unlimited user access",yes
1289,"Company Announcement: Upcoming trade show participation and customer engagement strategy",no
1290,"Need comprehensive pricing for both equipment purchase and ongoing maintenance services",yes
1291,"IT Department: Upcoming changes to network infrastructure and potential service impacts",no
1292,"Requesting detailed quotation for custom integration between your platform and our existing systems",yes
1293,"Facilities Announcement: New sustainable practices implementation and energy conservation goals",no
1294,"Could you provide detailed cost analysis for your preventive maintenance program across our facilities?",yes
1295,"Executive Communication: Annual planning process kickoff and departmental budget submissions",no
1296,"Need formal quotation with detailed specifications for specialized equipment for our research laboratory",yes
1297,"Safety Reminder: Ergonomic workstation setup guidelines to prevent injuries",no
1298,"Seeking comprehensive pricing proposal for upgrading our quality control systems to meet new regulations",yes
1299,"HR Announcement: Enhanced employee wellness program and participation incentives",no
1300,"Request for detailed quotation including implementation services and knowledge transfer for new system",yes
1301,"Company Update: Strategic partnership announcement and implications for our business",no
1302,"Need detailed pricing options for different configuration scenarios of your manufacturing solution",yes
1303,"IT Security: Mandatory security awareness training schedule and completion requirements",no
1304,"Formal RFQ: Comprehensive cost projection for scaling your solution as our user base grows",yes
1305,"Facilities Update: Changes to building access procedures and security badge requirements",no
1306,"Could you provide a formal quotation for the turnkey solution we discussed at the industry conference?",yes
1307,"HR Reminder: Performance review discussions scheduled for next month - preparation materials attached",no
1308,"Requesting detailed cost breakdown for implementing your environmental monitoring system at our facilities",yes
1309,"Executive Announcement: Leadership changes effective next quarter",no
1310,"Need comprehensive quotation for equipment upgrade with trade-in consideration for existing machinery",yes
1311,"Company Newsletter: Spotlight on innovation and recent patent achievements",no
1312,"Seeking detailed pricing for custom manufacturing with quality assurance and certification requirements",yes
1313,"Safety Committee: Updated emergency evacuation procedures and assembly point locations",no
1314,"Request for formal pricing proposal with detailed implementation timeline and resource requirements",yes
1315,"IT Department: New mobile device policy and security requirements for company data access",no
1316,"Need detailed cost analysis for implementing your compliance management solution enterprise-wide",yes
1317,"Facilities Announcement: New food service vendor in company cafeteria starting next month",no
1318,"Could you provide comprehensive pricing for your managed services offering with various SLA options?",yes
1319,"HR Update: Changes to employee recognition program and nomination criteria",no
1320,"Formal request for pricing: Detailed quotation needed for specialized consulting services",yes
1321,"Company Announcement: Upcoming customer appreciation events and participation opportunities",no
1322,"Requesting comprehensive cost analysis for implementing your solution with customizations for our industry",yes
1323,"Executive Communication: Quarterly business review and strategic priorities discussion",no
1324,"Need formal quotation for custom development of integration between your system and our existing platform",yes
1325,"Safety Reminder: Procedures for reporting workplace hazards and safety concerns",no
1326,"Hey, can you shoot over a quick price estimate for those components we talked about?",yes
1327,"Reminder: Team lunch tomorrow at Mezzaluna - 12:30pm sharp!",no
1328,"Need formal quotation for Johnson project - board meeting next Tuesday",yes
1329,"Just checking in - how was your vacation last week?",no
1330,"Ballpark figure needed ASAP for client meeting this afternoon",yes
1331,"FWD: Parking garage access codes updated for security",no
1332,"What would it cost to get about 50 of those sensors we saw at the expo?",yes
1333,"Happy Birthday from the Marketing Team! 🎂",no
1334,"Quick question about pricing for rush order - customer needs by Friday",yes
1335,"Can someone please fix the printer on the 3rd floor? It's jammed again.",no
1336,"RFQ #23-456: Detailed quotation needed for capital expenditure approval",yes
1337,"Don't forget to submit your timesheet before leaving today",no
1338,"Wondering what kind of numbers we're looking at for that custom work?",yes
1339,"FYI - New coffee machine instructions in break room",no
1340,"Urgent: Need pricing for client presentation tomorrow morning",yes
1341,"Anyone interested in fantasy football league this year?",no
1342,"Could you run some numbers for me on that equipment upgrade we discussed?",yes
1343,"Heads up - fire drill scheduled for Thursday at 10am",no
1344,"Just wanted to see what the damage might be for those replacement parts",yes
1345,"Please clean out refrigerator items before weekend - maintenance scheduled",no
1346,"Formal request for comprehensive pricing proposal - Project Falcon",yes
1347,"Congrats to Sarah on her 10-year work anniversary! 🎉",no
1348,"Need rough estimate for budget planning - nothing formal yet",yes
1349,"Has anyone seen my blue coffee mug? Missing from kitchen since yesterday.",no
1350,"What's your best price on bulk order of those components?",yes
1351,"Reminder: Please complete mandatory security training by Friday",no
1352,"Just wondering what it might cost to implement that solution we discussed",yes
1353,"Office closing early (3pm) due to expected snowstorm",no
1354,"Can you give me a ballpark on what these specs would run us?",yes
1355,"Anyone have a phone charger I can borrow? Left mine at home.",no
1356,"Need detailed cost breakdown for client proposal due next week",yes
1357,"FYI: Updated holiday schedule attached - please review",no
1358,"Hoping to get some pricing info before our budget meeting tomorrow",yes
1359,"Leftover birthday cake in conference room B - help yourself!",no
1360,"What would the financial impact be if we doubled our usual order?",yes
1361,"Reminder: Turn off lights when leaving conference rooms",no
1362,"Just need a rough idea of what this project might cost us",yes
1363,"Anyone interested in carpooling from the north side?",no
1364,"RFQ: Formal pricing needed for government contract submission",yes
1365,"Building maintenance: Water will be shut off Saturday 8am-noon",no
1366,"Can you help me understand what kind of investment we're looking at?",yes
1367,"Lost and found: Black umbrella in main lobby",no
1368,"Need to know approximate cost for these components by EOD",yes
1369,"Please welcome our new team member, Alex Johnson!",no
1370,"Just trying to get a sense of what these might cost before I talk to my boss",yes
1371,"Reminder: Clean up after yourself in the kitchen area",no
1372,"Could you send over some numbers for that custom work we talked about?",yes
1373,"FYI - Elevator maintenance scheduled for this weekend",no
1374,"What's the price tag on implementing that solution we discussed?",yes
1375,"Office supplies inventory - please submit your requirements",no
1376,"Need pricing info ASAP for budget approval meeting",yes
1377,"Anyone have recommendations for lunch spots near new office?",no
1378,"Just checking what the cost would be for expedited delivery",yes
1379,"Reminder: Update your emergency contact information",no
1380,"Can you give me a rough estimate for planning purposes?",yes
1381,"FWD: Interesting article about industry trends",no
1382,"Need to understand financial implications of switching to your service",yes
1383,"Office temperature issues - facilities team is investigating",no
1384,"What kind of pricing are we looking at for this quantity?",yes
1385,"Team photo scheduled for next Wednesday - wear company shirts",no
1386,"Just need some ballpark figures to take to my committee",yes
1387,"Has anyone seen the first aid kit from conference room C?",no
1388,"Formal RFQ: Detailed quotation needed for board presentation",yes
1389,"Reminder: Submit your vacation requests for summer",no
1390,"Can you help me understand what this might cost us?",yes
1391,"FYI - New security badges will be issued next month",no
1392,"Need pricing options for different service level tiers",yes
1393,"Anyone interested in joining the company softball team?",no
1394,"What would the numbers look like if we went with the premium option?",yes
1395,"Reminder: Quarterly town hall meeting this Friday",no
1396,"Just trying to get a handle on potential costs for this project",yes
1397,"Building access: Card readers being upgraded this weekend",no
1398,"Need rough pricing for budget planning purposes - nothing formal yet",yes
1399,"Free donuts in break room - courtesy of sales team",no
1400,"Can you provide cost estimate for the specs we sent over?",yes
1401,"Please remember to log your customer interactions in CRM",no
1402,"Just wondering what kind of investment we're looking at here",yes
1403,"FYI - New vending machine options in south building",no
1404,"Need to understand pricing structure before moving forward",yes
1405,"Anyone have a spare HDMI adapter I can borrow for presentation?",no
1406,"What's the damage going to be for this custom order?",yes
1407,"Reminder: Update your photo for new company directory",no
1408,"Could you shoot me over some rough numbers when you get a chance?",yes
1409,"Office closure: Memorial Day weekend schedule",no
1410,"Need pricing details for client meeting tomorrow afternoon",yes
1411,"Anyone interested in lunch order from Chipotle today?",no
1412,"Just trying to get a sense of what this might run us",yes
1413,"FYI - Air conditioning maintenance scheduled for Friday",no
1414,"What would be your best price if we increased our order quantity?",yes
1415,"Reminder: Return borrowed equipment to IT department",no
1416,"Need to know approximate cost for budgeting purposes",yes
1417,"Lost and found: Car keys with blue keychain",no
1418,"Can you give me a rough idea of pricing for these components?",yes
1419,"Please clean your dishes - kitchen situation getting out of hand",no
1420,"Formal request for detailed quotation - Project Horizon",yes
1421,"FWD: Interesting webinar opportunity next week",no
1422,"Just need a ballpark figure for these specifications",yes
1423,"Reminder: Complete your health insurance enrollment by Friday",no
1424,"What kind of cost are we looking at for this implementation?",yes
1425,"New coffee selection in break room - please vote for your favorite",no
1426,"Need pricing info for potential order - customer asking",yes
1427,"Anyone have a spare phone charger I can borrow today?",no
1428,"Could you help me understand the financial commitment here?",yes
1429,"FYI - Updated parking permit procedures effective next month",no
1430,"Just trying to get some numbers together for my boss",yes
1431,"Reminder: Department photo scheduled for tomorrow at 2pm",no
1432,"Need to know what kind of investment we're looking at",yes
1433,"Free pizza in conference room A - help yourself!",no
1434,"Can you provide a cost breakdown for the different options?",yes
1435,"Building security: New visitor check-in process starts Monday",no
1436,"What would it cost to get this done by end of month?",yes
1437,"Anyone interested in after-work happy hour this Thursday?",no
1438,"Need rough estimate for these components - planning phase",yes
1439,"Reminder: Submit receipts for expense reimbursement by Friday",no
1440,"Just wondering what the price point would be for this quantity",yes
1441,"FYI - New recycling guidelines posted in break rooms",no
1442,"Could you send over pricing details when you get a chance?",yes
1443,"Office furniture rearrangement scheduled for this weekend",no
1444,"Need to understand cost implications before proceeding further",yes
1445,"Anyone have recommendations for team building activities?",no
1446,"What's the ballpark figure for implementing this solution?",yes
1447,"Reminder: Change your network password this week",no
1448,"Just need some rough numbers for planning purposes",yes
1449,"Lost and found: Reading glasses in main conference room",no
1450,"Formal RFQ: Detailed pricing needed for capital expenditure",yes
1451,"Please remember to lock your computer when away from desk",no
1452,"Can you give me an idea of what this might cost us?",yes
1453,"FYI - Printer maintenance scheduled for tomorrow morning",no
1454,"Need pricing options for different service packages",yes
1455,"Anyone interested in contributing to retirement gift for Susan?",no
1456,"What would the financial picture look like for this project?",yes
1457,"Reminder: Clean out your items from refrigerator today",no
1458,"Just trying to get a sense of the investment required",yes
1459,"Building maintenance: Lighting upgrades this weekend",no
1460,"Need approximate costs for these specifications by Thursday",yes
1461,"Free health screenings next week - sign up at HR",no
1462,"Could you provide some pricing guidance when convenient?",yes
1463,"FWD: Important industry regulation changes",no
1464,"What kind of numbers are we looking at for this order?",yes
1465,"Reminder: Submit your timesheet before leaving today",no
1466,"Need to understand potential costs for budget planning",yes
1467,"Anyone have a spare notebook I can borrow for meeting?",no
1468,"Just looking for rough pricing to take to my committee",yes
1469,"FYI - Updated emergency evacuation procedures attached",no
1470,"Can you help me understand what this implementation might cost?",yes
1471,"Office supplies order going in today - last chance for requests",no
1472,"Need formal quotation for client proposal due next week",yes
1473,"Reminder: Department lunch scheduled for Friday at noon",no
1474,"What would be the financial impact of this upgrade?",yes
1475,"Lost and found: Blue water bottle left in meeting room",no
1476,"Just need a rough estimate for these components",yes
1477,"FYI - New coffee machine installed in break room",no
1478,"Could you provide pricing details for the options we discussed?",yes
1479,"Anyone interested in joining the wellness challenge?",no
1480,"Need to know approximate cost for these specifications",yes
1481,"Reminder: Complete mandatory compliance training by Friday",no
1482,"What kind of investment would we be looking at here?",yes
1483,"Building access: Weekend work requires security notification",no
1484,"Just trying to get a handle on what this might cost",yes
1485,"FWD: Interesting customer success story you might appreciate",no
1486,"Need pricing information for potential order - nothing firm yet",yes
1487,"Please clean up conference room after your meetings",no
1488,"Can you give me a ballpark figure for these requirements?",yes
1489,"Reminder: Update your contact information in directory",no
1490,"What would the numbers look like for this configuration?",yes
1491,"Anyone have recommendations for team lunch options?",no
1492,"Need rough cost estimate for planning meeting tomorrow",yes
1493,"FYI - Parking garage cleaning scheduled for Saturday",no
1494,"Just wondering what kind of price we're looking at",yes
1495,"Office closure: Independence Day weekend schedule",no
1496,"Could you provide some pricing scenarios for consideration?",yes
1497,"Reminder: Return borrowed equipment to IT department",no
1498,"Need to understand financial commitment before proceeding",yes
1499,"Lost and found: Black pen with company logo",no
1500,"What's the rough cost for implementing this solution?",yes
1501,"FWD: Interesting webinar on industry trends next week",no
1502,"Just need some ballpark numbers for my presentation",yes
1503,"Building maintenance: HVAC system testing this weekend",no
1504,"Need pricing details for potential client opportunity",yes
1505,"Anyone interested in company book club? First meeting next week!",no
1506,"Can you help me understand what this might run us?",yes
1507,"Reminder: Submit your health insurance enrollment forms",no
1508,"What kind of cost structure are we looking at?",yes
1509,"FYI - New security procedures for visitors effective Monday",no
1510,"Need rough estimate for these components by EOD if possible",yes
1511,"Please remember to turn off lights when leaving conference rooms",no
1512,"Just trying to get a sense of pricing for budget planning",yes
1513,"Office move: Updated timeline and packing instructions",no
1514,"Could you provide a cost breakdown for the different options?",yes
1515,"Anyone have a spare laptop charger I can borrow today?",no
1516,"Need formal quotation for board presentation next week",yes
1517,"Reminder: Team building event scheduled for next Friday",no
1518,"What would it cost to implement the solution we discussed?",yes
1519,"FWD: Important industry certification information",no
1520,"Just need a rough idea of what these might cost us",yes
1521,"Building security: New badge access procedures start Monday",no
1522,"Need pricing information for potential order - customer asking",yes
1523,"Free flu shots available next Tuesday in conference room C",no
